# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9489
#@/user_id	aef07baf-fc31-4dbf-911c-c1bc15ed306d
a 	阿	c=3 d=5.54929e-06 t=9489
di zhi 	地址	c=11 d=1.91776 t=9489
dian 	靛	c=1 d=1.73833e-05 t=9489
dian 	點	c=4 d=0.0587191 t=9489
dian ban 	點半	c=1 d=5.86467e-17 t=9489
dian dong 	電動	c=1 d=1.84137e-06 t=9489
dian fei 	電費	c=1 d=0.722527 t=9489
dian hua 	電話	c=1 d=0.0229371 t=9489
dian ji 	點擊	c=5 d=0.0800583 t=9489
dian nao 	電腦	c=2 d=0.794534 t=9489
dian ping 	點評	c=0 d=1.35497e-16 t=9489
dian xiao er 	店小二	c=1 d=2.1992e-07 t=9489
dian xing 	典型	c=1 d=5.5461e-07 t=9489
dian ying 	電影	c=8 d=1.22348 t=9489
dian ying yuan 	電影院	c=1 d=7.93292e-12 t=9489
diao 	掉	c=1 d=0.00516939 t=9489
diao yong 	調用	c=1 d=8.5316e-15 t=9489
die dai 	迭代	c=1 d=0.00551656 t=9489
ding 	定	c=2 d=0.19398 t=9489
ding ceng 	頂層	c=1 d=1.11128e-06 t=9489
ding fan 	定翻	c=1 d=0.97531 t=9489
ding ji 	頂級	c=1 d=5.77146e-05 t=9489
ding lv 	定律	c=1 d=0.0963276 t=9489
ding qi 	定期	c=1 d=6.61015e-13 t=9489
